Street Name,Latitude,Longitude,Safety Rating,Number of Crimes,Street Type,Traffic Level,Lighting Quality,CCTV Coverage,Distance to Nearest Police Station (km),Pedestrian Activity,Nearby Public Spaces,Crime Severity Index,Police Patrolling Frequency,Most Common Crime Types
BTM Layout 44,12.900654,77.587923,4,16,Industrial,Moderate,Moderate,Low,4.1,Moderate,None,8.3,Frequent,Robbery
BTM Layout 45,12.951466,77.51889,1,25,Mixed-use,Low,Poor,Low,1.3,Moderate,Park,8.1,Rare,Robbery
HSR Layout 46,12.997624,77.631354,3,39,Commercial,High,Poor,High,4.4,Moderate,None,8.7,Occasional,Theft
Church Street 47,12.908965,77.52346,5,38,Industrial,Moderate,Good,Low,3.1,Low,Market,9.4,Frequent,Assault
Brigade Road 48,12.859395,77.553578,5,10,Residential,High,Poor,Low,4.6,High,None,7.0,Rare,Robbery
Church Street 49,12.905138,77.69781,5,13,Commercial,Low,Good,High,3.9,Low,Market,1.5,Frequent,Theft
Koramangala 1st Block 50,12.909122,77.642917,1,5,Commercial,Moderate,Poor,Low,4.9,Moderate,Mall,6.2,Rare,Vandalism
Church Street 51,12.859341,77.650377,2,50,Commercial,Moderate,Poor,Low,4.9,Moderate,Playground,1.7,Occasional,Vandalism
Brigade Road 52,12.949979,77.501119,1,14,Commercial,Moderate,Good,Low,4.1,Low,None,9.2,Occasional,Vandalism
Jayanagar 4th Block 53,12.893095,77.523929,2,44,Residential,High,Poor,High,2.9,High,Mall,1.5,Rare,Theft
Koramangala 1st Block 54,12.990746,77.606012,4,13,Residential,Low,Poor,High,3.5,Low,Park,2.2,Rare,Robbery
MG Road 55,12.895768,77.535288,3,20,Residential,Low,Poor,Medium,4.4,Low,None,4.5,Frequent,Assault
MG Road 56,12.933223,77.623797,3,29,Residential,Low,Good,High,3.5,Moderate,Park,7.3,Rare,Harassment
Jayanagar 4th Block 57,12.889335,77.683833,1,15,Residential,Low,Moderate,Medium,3.4,Moderate,Playground,9.8,Occasional,Assault
Church Street 58,12.922403,77.619983,1,20,Residential,Low,Moderate,High,1.0,Moderate,Park,6.0,Frequent,Harassment
Church Street 59,12.900446,77.528032,2,32,Residential,Moderate,Moderate,Low,3.7,Moderate,Mall,8.9,Rare,Vandalism
Brigade Road 60,12.8656,77.52526,5,23,Mixed-use,Low,Good,Medium,4.8,Moderate,None,2.3,Frequent,Theft
Commercial Street 61,12.978374,77.618046,1,13,Commercial,Moderate,Good,Low,2.7,Moderate,Park,9.7,Frequent,Theft
Brigade Road 62,12.909256,77.61634,5,6,Industrial,Moderate,Good,Low,3.5,High,Playground,9.1,Occasional,Harassment
Whitefield Main Road 63,12.873332,77.60794,2,6,Commercial,Low,Moderate,Medium,2.7,Moderate,None,5.1,Rare,Robbery
Jayanagar 4th Block 64,12.917542,77.669009,5,47,Industrial,High,Poor,Low,2.3,Low,None,7.2,Frequent,Vandalism
Bannerghatta Road 65,12.876163,77.59294,3,3,Commercial,Moderate,Good,High,1.8,High,None,5.4,Frequent,Assault
Brigade Road 66,12.937932,77.624614,2,18,Commercial,Low,Moderate,Low,2.3,Low,None,3.2,Occasional,Harassment
Jayanagar 4th Block 67,12.882513,77.645694,2,42,Industrial,High,Good,Medium,2.9,High,Market,1.6,Occasional,Theft
MG Road 68,12.945426,77.524028,5,49,Commercial,High,Poor,Medium,4.9,High,Market,5.5,Occasional,Theft
Indiranagar 100 Feet Road 69,12.856092,77.630778,4,6,Commercial,Moderate,Good,High,2.2,High,Mall,9.6,Frequent,Assault
Church Street 70,12.931066,77.554068,2,48,Residential,Moderate,Good,High,3.4,Moderate,None,9.2,Frequent,Harassment
BTM Layout 71,12.969177,77.577219,3,5,Residential,High,Good,Medium,3.7,Low,Park,9.6,Occasional,Robbery
Commercial Street 72,12.942817,77.542887,3,6,Mixed-use,Moderate,Moderate,Medium,0.7,High,Park,3.8,Rare,Vandalism
Koramangala 1st Block 73,12.894988,77.50437,4,31,Residential,Moderate,Good,Medium,2.3,Low,Park,6.2,Occasional,Harassment
HSR Layout 74,12.963994,77.553746,5,21,Mixed-use,Low,Good,High,3.4,Low,Market,4.1,Occasional,Harassment
Whitefield Main Road 75,12.880319,77.561057,1,30,Commercial,Moderate,Poor,Medium,4.2,High,None,1.6,Frequent,Vandalism
Jayanagar 4th Block 76,12.947321,77.607266,2,35,Commercial,Moderate,Poor,Low,1.4,High,Park,2.7,Frequent,Robbery
Brigade Road 77,12.982023,77.581236,2,50,Residential,Moderate,Moderate,Medium,0.6,Moderate,Playground,4.0,Frequent,Vandalism
Whitefield Main Road 78,12.994169,77.589531,3,45,Residential,Low,Good,Medium,2.0,Low,Mall,3.9,Occasional,Robbery
MG Road 79,12.952574,77.603612,2,32,Commercial,High,Good,Medium,1.7,Low,Mall,9.5,Frequent,Theft
HSR Layout 80,12.97024,77.541834,2,3,Mixed-use,Moderate,Moderate,Medium,5.0,High,Market,2.7,Occasional,Assault
Koramangala 1st Block 81,12.942144,77.633032,2,13,Mixed-use,Low,Moderate,High,5.0,Low,Market,8.5,Rare,Vandalism
Koramangala 1st Block 82,12.899178,77.535968,4,10,Industrial,Low,Poor,High,3.3,High,Market,8.1,Rare,Vandalism
MG Road 83,12.926919,77.587862,3,40,Commercial,High,Good,High,1.9,Low,None,8.5,Rare,Theft
Koramangala 1st Block 84,12.925025,77.523178,2,34,Mixed-use,High,Poor,High,4.7,Low,Market,1.7,Occasional,Robbery
HSR Layout 85,12.916147,77.699046,2,6,Residential,Low,Good,Medium,4.9,Moderate,Market,5.1,Frequent,Theft
MG Road 86,12.937597,77.568085,2,22,Mixed-use,Low,Good,Medium,3.4,Low,None,7.7,Frequent,Harassment
Commercial Street 87,12.890306,77.573814,5,8,Industrial,Low,Poor,Medium,5.0,High,None,2.6,Rare,Harassment
Indiranagar 100 Feet Road 88,12.947711,77.694375,3,19,Commercial,Low,Good,Low,3.4,High,None,7.1,Occasional,Vandalism
BTM Layout 89,12.868783,77.562634,5,28,Mixed-use,High,Good,Low,3.2,Moderate,None,9.3,Frequent,Theft
Indiranagar 100 Feet Road 90,12.923439,77.683513,2,11,Industrial,Moderate,Poor,Low,2.1,Low,None,4.3,Occasional,Assault
Jayanagar 4th Block 91,12.904282,77.682553,1,9,Mixed-use,Low,Poor,Medium,4.4,High,Playground,4.4,Frequent,Assault
MG Road 92,12.927031,77.697758,4,22,Residential,Moderate,Moderate,Medium,3.5,Low,None,1.0,Occasional,Assault
Brigade Road 93,12.887746,77.626406,4,7,Industrial,High,Poor,Low,4.5,Low,Market,2.1,Rare,Assault
Indiranagar 100 Feet Road 94,12.876784,77.598764,4,43,Residential,High,Poor,Low,3.3,High,Market,1.3,Frequent,Theft
Whitefield Main Road 95,12.880194,77.555297,5,18,Industrial,Low,Poor,Low,3.3,Moderate,Market,8.4,Frequent,Assault
Brigade Road 96,12.957052,77.545947,4,41,Industrial,High,Moderate,High,3.4,High,Playground,2.0,Rare,Robbery
Church Street 97,12.96234,77.58256,2,50,Mixed-use,High,Moderate,Medium,3.4,High,Park,8.4,Occasional,Harassment
Bannerghatta Road 98,12.895063,77.586619,2,5,Industrial,Low,Good,Medium,4.6,Low,None,9.2,Frequent,Theft
Jayanagar 4th Block 99,12.976316,77.649037,3,18,Mixed-use,Low,Poor,High,1.8,Moderate,Mall,6.2,Rare,Assault
Whitefield Main Road 100,12.904623,77.583257,2,10,Commercial,Moderate,Good,High,4.3,Low,Playground,4.2,Frequent,Vandalism
MG Road 101,12.886326,77.546965,5,41,Mixed-use,Moderate,Poor,Medium,4.9,High,Playground,8.2,Rare,Robbery
Church Street 102,12.868271,77.649803,1,23,Residential,Low,Good,Medium,4.9,Moderate,Mall,1.6,Rare,Vandalism
Commercial Street 103,12.856648,77.667925,2,35,Mixed-use,Low,Poor,Medium,1.5,Moderate,Park,6.3,Rare,Vandalism
Indiranagar 100 Feet Road 104,12.907277,77.542338,3,0,Industrial,High,Good,High,3.3,Moderate,Mall,5.7,Rare,Vandalism
Commercial Street 105,12.93845,77.520266,1,0,Mixed-use,High,Poor,Medium,2.6,Moderate,None,8.8,Rare,Theft
Jayanagar 4th Block 106,12.946512,77.659261,2,36,Industrial,Moderate,Moderate,Low,3.8,High,Mall,7.9,Occasional,Vandalism
Bannerghatta Road 107,12.978912,77.528633,4,15,Mixed-use,Moderate,Good,Low,4.1,Moderate,Park,1.9,Frequent,Harassment
HSR Layout 108,12.961401,77.517626,4,1,Commercial,Moderate,Good,Medium,4.1,Low,Mall,8.3,Rare,Vandalism
Indiranagar 100 Feet Road 109,12.99015,77.64896,2,48,Mixed-use,High,Good,High,1.5,High,Mall,2.3,Rare,Assault
Indiranagar 100 Feet Road 110,12.880859,77.682132,1,25,Residential,Moderate,Poor,High,2.3,High,Mall,9.5,Frequent,Vandalism
Church Street 111,12.915007,77.600134,4,10,Mixed-use,Low,Moderate,High,4.1,Low,Mall,9.9,Frequent,Vandalism
Koramangala 1st Block 112,12.992959,77.508213,3,31,Industrial,Low,Poor,Medium,2.9,High,None,1.4,Rare,Theft
Whitefield Main Road 113,12.896591,77.542836,5,12,Residential,Low,Moderate,Medium,0.9,High,Playground,6.3,Frequent,Theft
HSR Layout 114,12.990218,77.552757,2,38,Commercial,High,Moderate,Medium,1.6,Low,None,4.2,Occasional,Harassment
Indiranagar 100 Feet Road 115,12.958889,77.584778,5,41,Commercial,Low,Moderate,High,0.8,Low,None,2.2,Occasional,Vandalism
Church Street 116,12.900599,77.636018,5,41,Mixed-use,High,Moderate,Low,0.8,Moderate,None,4.1,Frequent,Vandalism
Commercial Street 117,12.985541,77.605844,3,37,Mixed-use,Moderate,Good,High,2.9,High,Playground,7.2,Occasional,Harassment
Commercial Street 118,12.857907,77.598904,4,6,Mixed-use,Moderate,Poor,Low,1.6,Moderate,Playground,2.9,Rare,Theft
Jayanagar 4th Block 119,12.876827,77.697935,2,42,Commercial,Moderate,Poor,Medium,1.3,Low,Mall,6.1,Frequent,Robbery
HSR Layout 120,12.853785,77.598635,3,21,Residential,Moderate,Good,High,4.0,High,Mall,5.0,Rare,Robbery
Indiranagar 100 Feet Road 121,12.902622,77.574891,2,16,Residential,Moderate,Poor,Medium,4.1,High,Park,8.0,Occasional,Theft
Indiranagar 100 Feet Road 122,12.857116,77.662628,5,49,Mixed-use,High,Moderate,High,3.5,Low,Park,8.3,Rare,Assault
Bannerghatta Road 123,12.910591,77.536343,1,22,Mixed-use,Moderate,Moderate,Low,3.8,Moderate,None,4.4,Rare,Robbery
HSR Layout 124,12.933269,77.589059,3,4,Mixed-use,Low,Poor,Low,1.3,Low,Mall,2.5,Frequent,Vandalism
Jayanagar 4th Block 125,12.971489,77.68914,3,7,Mixed-use,High,Good,High,3.7,Low,Park,5.3,Rare,Robbery
Church Street 126,12.943162,77.690182,3,47,Industrial,High,Moderate,Low,1.1,Moderate,Mall,8.9,Occasional,Theft
MG Road 127,12.937006,77.682571,5,6,Residential,Low,Poor,Low,2.3,Moderate,Playground,4.8,Occasional,Robbery
Jayanagar 4th Block 128,12.934043,77.613005,3,35,Industrial,High,Moderate,High,2.8,High,None,7.9,Frequent,Harassment
Whitefield Main Road 129,12.852334,77.655266,2,18,Mixed-use,High,Poor,Medium,1.7,Moderate,None,1.1,Rare,Vandalism
BTM Layout 130,12.932753,77.540079,5,42,Commercial,High,Moderate,High,3.8,Low,None,5.5,Frequent,Assault
Koramangala 1st Block 131,12.873053,77.513348,5,30,Residential,Low,Moderate,High,4.4,Moderate,Park,3.7,Frequent,Theft
Brigade Road 132,12.949222,77.504749,3,29,Commercial,Moderate,Poor,High,1.7,Low,None,9.9,Frequent,Vandalism
Indiranagar 100 Feet Road 133,12.865995,77.641756,1,0,Residential,Low,Moderate,Low,2.7,High,Market,2.1,Frequent,Assault
Bannerghatta Road 134,12.88513,77.571673,2,28,Mixed-use,Low,Poor,Low,2.0,Low,Mall,1.6,Frequent,Vandalism
Koramangala 1st Block 135,12.911805,77.650991,4,46,Residential,Moderate,Poor,Medium,2.8,Moderate,Playground,6.1,Rare,Vandalism
Whitefield Main Road 136,12.920658,77.603778,2,14,Residential,Moderate,Moderate,High,4.9,High,Market,7.2,Frequent,Harassment
HSR Layout 137,12.921049,77.61061,1,33,Residential,Low,Poor,High,2.8,Low,Park,6.1,Rare,Vandalism
Whitefield Main Road 138,12.892776,77.5307,4,31,Residential,Moderate,Good,Low,3.9,Moderate,Park,7.8,Occasional,Robbery
Indiranagar 100 Feet Road 139,12.976115,77.644052,5,1,Mixed-use,Low,Good,Medium,1.0,High,Park,1.6,Rare,Theft
Whitefield Main Road 140,12.862259,77.536847,3,29,Residential,High,Poor,Low,2.0,High,Playground,8.7,Rare,Vandalism
Bannerghatta Road 141,12.96762,77.69016,5,1,Residential,Moderate,Good,High,3.6,High,Playground,8.6,Frequent,Harassment
Jayanagar 4th Block 142,12.992256,77.51216,3,33,Commercial,Moderate,Moderate,High,2.6,Moderate,None,5.8,Occasional,Theft
Bannerghatta Road 143,12.964103,77.685176,4,14,Mixed-use,High,Poor,Low,4.2,Low,Mall,5.4,Occasional,Harassment
Jayanagar 4th Block 144,12.968854,77.505504,4,24,Residential,Moderate,Good,Medium,4.8,Moderate,None,5.2,Rare,Robbery
Church Street 145,12.851592,77.555553,1,4,Mixed-use,Moderate,Poor,Medium,1.3,Moderate,Park,6.6,Occasional,Robbery
Church Street 146,12.893215,77.617059,3,37,Commercial,Low,Good,Medium,2.0,High,Market,7.2,Rare,Harassment
Church Street 147,12.869197,77.574979,5,20,Mixed-use,Low,Moderate,Medium,2.8,High,Park,1.6,Occasional,Assault
Commercial Street 148,12.959466,77.623307,1,31,Mixed-use,Moderate,Good,High,4.1,Low,Park,6.3,Rare,Robbery
Commercial Street 149,12.874812,77.606056,1,39,Residential,High,Poor,Low,3.7,Moderate,Mall,7.4,Frequent,Theft
Commercial Street 150,12.985682,77.51453,4,22,Commercial,High,Moderate,Medium,2.9,Moderate,Market,9.1,Rare,Assault
Whitefield Main Road 151,12.954079,77.584051,2,44,Residential,Low,Poor,Medium,1.7,Moderate,None,7.2,Occasional,Theft
Commercial Street 152,12.944335,77.647121,2,10,Residential,High,Moderate,High,2.3,Low,Market,1.2,Occasional,Assault
BTM Layout 153,12.922711,77.513684,4,3,Mixed-use,Low,Good,Medium,1.1,Moderate,None,6.2,Rare,Theft
MG Road 154,12.893377,77.526456,3,47,Industrial,Moderate,Poor,Medium,4.4,Moderate,Mall,8.1,Occasional,Harassment
Brigade Road 155,12.905982,77.648945,2,13,Residential,Moderate,Poor,High,4.9,High,None,6.3,Occasional,Assault
Whitefield Main Road 156,12.869801,77.646719,2,7,Residential,Low,Good,Low,4.4,Low,Park,5.9,Rare,Harassment
Church Street 157,12.88222,77.511817,1,50,Residential,Moderate,Good,Medium,3.3,High,Mall,6.5,Occasional,Harassment
Whitefield Main Road 158,12.868173,77.533051,4,44,Industrial,Moderate,Good,High,4.3,Moderate,Playground,4.5,Frequent,Robbery
BTM Layout 159,12.940811,77.50206,2,30,Commercial,Low,Good,Medium,2.5,Moderate,None,6.8,Occasional,Assault
Koramangala 1st Block 160,12.981856,77.614029,2,25,Mixed-use,Moderate,Poor,Medium,4.1,Moderate,Market,4.8,Rare,Theft
Jayanagar 4th Block 161,12.871929,77.503549,4,27,Mixed-use,High,Moderate,High,3.2,Low,Park,8.9,Frequent,Theft
Church Street 162,12.972249,77.632796,5,12,Mixed-use,Low,Moderate,Low,5.0,High,Playground,2.7,Occasional,Theft
Whitefield Main Road 163,12.869993,77.668529,2,24,Mixed-use,Low,Moderate,High,0.8,Moderate,Park,8.3,Frequent,Vandalism
Jayanagar 4th Block 164,12.932728,77.683528,5,13,Industrial,High,Moderate,Medium,2.1,High,Park,5.9,Occasional,Vandalism
Bannerghatta Road 165,12.854148,77.58874,1,11,Residential,High,Good,High,4.2,High,None,3.8,Occasional,Theft
Whitefield Main Road 166,12.983133,77.662111,4,46,Residential,Moderate,Poor,Medium,3.7,High,Playground,9.9,Frequent,Theft
Commercial Street 167,12.961214,77.696171,5,16,Commercial,High,Poor,Low,3.0,High,Market,4.2,Frequent,Vandalism
Bannerghatta Road 168,12.926668,77.608654,5,1,Industrial,High,Moderate,Medium,3.1,Low,None,6.6,Occasional,Assault
HSR Layout 169,12.935818,77.586918,4,46,Mixed-use,High,Poor,Low,1.5,Low,Park,7.5,Occasional,Theft
Commercial Street 170,12.901805,77.676922,5,2,Residential,Low,Good,Medium,4.5,High,Playground,5.0,Rare,Harassment
Bannerghatta Road 171,12.923059,77.685325,4,15,Industrial,Moderate,Good,High,1.3,Moderate,None,9.2,Occasional,Robbery
HSR Layout 172,12.893195,77.550956,2,33,Mixed-use,Low,Good,High,3.7,High,Playground,9.5,Occasional,Theft
Jayanagar 4th Block 173,12.880845,77.505295,4,33,Industrial,High,Moderate,Low,4.0,Low,Mall,1.6,Rare,Robbery
Brigade Road 174,12.945189,77.648202,1,21,Industrial,Moderate,Moderate,Low,4.0,High,Park,6.4,Frequent,Harassment
Brigade Road 175,12.993618,77.652288,1,25,Mixed-use,Moderate,Poor,High,1.9,Low,Market,5.1,Frequent,Robbery
MG Road 176,12.865632,77.511248,3,48,Mixed-use,High,Moderate,Medium,2.8,Moderate,Playground,6.5,Rare,Theft
Indiranagar 100 Feet Road 177,12.95351,77.57546,3,2,Residential,Low,Poor,High,0.9,Moderate,Market,8.0,Frequent,Robbery
BTM Layout 178,12.914394,77.649479,5,48,Residential,Moderate,Good,Medium,3.9,High,Market,8.8,Frequent,Assault
BTM Layout 179,12.933845,77.636518,3,2,Mixed-use,High,Poor,High,1.9,Low,Market,9.1,Frequent,Harassment
Indiranagar 100 Feet Road 180,12.96283,77.505242,2,42,Industrial,Moderate,Poor,Low,1.5,Low,Mall,9.6,Frequent,Harassment
Brigade Road 181,12.8885,77.549572,1,47,Residential,Low,Poor,High,1.4,Low,Mall,9.5,Frequent,Robbery
MG Road 182,12.919501,77.626872,4,1,Commercial,Low,Moderate,High,0.9,Moderate,Market,6.4,Occasional,Harassment
Commercial Street 183,12.876705,77.556155,4,22,Industrial,Moderate,Good,High,4.0,High,Market,8.3,Rare,Robbery
Church Street 184,12.893038,77.551368,5,4,Commercial,Low,Poor,Low,1.3,Moderate,Market,8.2,Frequent,Harassment
Church Street 185,12.867651,77.66948,2,23,Commercial,Moderate,Moderate,Low,3.7,Low,None,7.9,Frequent,Assault
Jayanagar 4th Block 186,12.877691,77.581274,4,29,Mixed-use,High,Poor,Medium,2.9,High,Park,4.2,Rare,Robbery
Jayanagar 4th Block 187,12.888888,77.507816,5,40,Residential,High,Poor,Medium,4.3,Low,None,9.3,Rare,Theft
Jayanagar 4th Block 188,12.943839,77.53882,3,37,Residential,Moderate,Poor,High,3.2,Moderate,Market,8.6,Rare,Theft
Koramangala 1st Block 189,12.98091,77.615358,3,38,Residential,High,Moderate,Medium,3.9,High,Market,2.2,Frequent,Vandalism
BTM Layout 190,12.861407,77.644327,5,1,Commercial,Low,Good,High,4.0,Moderate,None,1.0,Occasional,Robbery
Commercial Street 191,12.921886,77.524648,4,30,Mixed-use,High,Good,Medium,0.7,Moderate,None,4.4,Rare,Harassment
Bannerghatta Road 192,12.892327,77.599951,3,16,Industrial,Low,Poor,High,2.2,Moderate,Park,4.3,Rare,Assault
HSR Layout 193,12.993125,77.523579,4,12,Residential,Moderate,Poor,High,4.5,Moderate,Playground,5.3,Rare,Assault
Bannerghatta Road 194,12.990503,77.651174,3,5,Industrial,High,Poor,High,1.1,Moderate,None,2.9,Occasional,Theft
Brigade Road 195,12.946248,77.54679,5,34,Residential,Low,Good,Medium,3.1,Low,Market,5.1,Frequent,Harassment
HSR Layout 196,12.95213,77.634875,1,22,Industrial,High,Moderate,Low,1.0,Moderate,Market,9.0,Frequent,Robbery
Whitefield Main Road 197,12.950608,77.648799,4,12,Commercial,Moderate,Moderate,Medium,4.5,High,None,2.1,Rare,Theft
Brigade Road 198,12.897046,77.517914,2,23,Industrial,High,Moderate,High,2.0,High,Park,5.6,Rare,Robbery
Jayanagar 4th Block 199,12.969455,77.525027,5,5,Residential,High,Poor,Low,0.6,Low,Playground,2.0,Frequent,Robbery
Bannerghatta Road 200,12.927074,77.636699,2,5,Residential,Low,Poor,Medium,1.7,High,Playground,9.3,Occasional,Theft
HSR Layout 201,12.970101,77.536182,2,4,Industrial,High,Poor,Medium,1.4,Low,Park,5.0,Rare,Theft
Bannerghatta Road 202,12.975003,77.516818,5,37,Mixed-use,Moderate,Poor,High,2.6,Low,Mall,2.0,Rare,Robbery
MG Road 203,12.932773,77.586173,3,27,Residential,Low,Poor,High,3.7,High,Park,9.8,Frequent,Theft
BTM Layout 204,12.854443,77.534661,5,44,Mixed-use,High,Good,Low,2.5,Low,None,1.3,Frequent,Theft
Bannerghatta Road 205,12.863459,77.669237,1,6,Mixed-use,Moderate,Poor,Medium,1.0,High,Mall,3.0,Frequent,Robbery
Brigade Road 206,12.962822,77.609615,4,45,Mixed-use,Moderate,Moderate,Low,2.2,Moderate,Market,10.0,Frequent,Theft
HSR Layout 207,12.921906,77.633967,4,8,Residential,Moderate,Poor,Low,2.2,High,Mall,3.7,Rare,Assault
Whitefield Main Road 208,12.901736,77.506897,4,41,Industrial,Moderate,Moderate,Low,4.4,High,Park,9.9,Occasional,Theft
BTM Layout 209,12.888798,77.679739,5,14,Residential,Moderate,Good,High,2.6,Low,Park,9.2,Rare,Assault
Jayanagar 4th Block 210,12.953198,77.51322,3,49,Commercial,High,Good,High,1.1,Moderate,Mall,1.9,Rare,Theft
Bannerghatta Road 211,12.992374,77.653421,3,16,Industrial,Low,Good,Medium,2.6,High,Market,1.6,Occasional,Robbery
Jayanagar 4th Block 212,12.949839,77.588235,2,34,Industrial,Low,Moderate,High,1.9,Moderate,Market,6.3,Frequent,Vandalism
Jayanagar 4th Block 213,12.969556,77.613853,3,36,Mixed-use,High,Poor,Medium,4.1,Low,Park,7.5,Frequent,Robbery
